NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0608304 CA EBT SANTA BARBARA CO DSW,"6,564",,"41,592",,"48,156",,"3,945",,"24,593",,"28,538",,"12,226,927",,,,
0608502 CA EBT SANTA CLARA COUNTY DSS,"27,510",,"85,310",,"112,820",,"19,503",,"50,523",,"70,026",,"28,629,043",,,,
0608702 CA EBT SANTA CRUZ CO DSW,"3,981",,"24,262",,"28,243",,"2,518",,"15,405",,"17,923",,"7,203,332",,,,
0608901 CA EBT SHASTA CO DSW,"5,671",,"18,950",,"24,621",,"4,169",,"10,513",,"14,682",,"6,491,671",,,,
0609101 CA EBT SIERRA CO HUMAN SVCS,75,,218,,293,,51,,144,,195,,"42,673",,,,
0609301 CA EBT SISKIYOU CO DSW,"1,647",,"6,262",,"7,909",,"1,199",,"3,426",,"4,625",,"2,040,126",,,,
0609502 CA EBT SOLANO CO DSW,"8,839",,"38,857",,"47,696",,"5,556",,"22,638",,"28,194",,"11,809,145",,,,
0609701 CA EBT SONOMA CO DSW,"5,109",,"27,311",,"32,420",,"3,542",,"16,826",,"20,368",,"8,478,271",,,,
0609902 CA EBT STANISLAUS CO. DSS,"17,200",,"53,319",,"70,519",,"9,932",,"27,435",,"37,367",,"18,642,964",,,,
0610101 CA EBT SUTTER CO WELF DEPT,"3,056",,"9,096",,"12,152",,"1,594",,"4,467",,"6,061",,"3,042,172",,,,
0610301 CA EBT TEHAMA CO DSW,"2,179",,"7,995",,"10,174",,"1,478",,"4,127",,"5,605",,"1,501,567",,,,
0610501 CA EBT TRINITY CO DSW,496,,"1,788",,"2,284",,335,,"1,065",,"1,400",,"598,395",,,,
0610704 CA EBT TULARE COUNTY DSS,"23,293",,"91,114",,"114,407",,"10,732",,"42,049",,"52,781",,"27,075,778",,,,
0610901 CA EBT TUOLUMNE CO WELF DEPT,987,,"4,448",,"5,435",,765,,"2,733",,"3,498",,"1,456,941",,,,
0611101 CA EBT VENTURA CO.,"9,197",,"56,961",,"66,158",,"5,876",,"30,933",,"36,809",,"10,696,930",,,,
0611301 CA EBT YOLO CO DSW,"3,566",,"18,555",,"22,121",,"2,320",,"12,118",,"14,438",,"3,742,022",,,,
0611501 CA EBT YUBA CO WELFARE DEPT,"3,841",,"11,647",,"15,488",,"2,151",,"6,005",,"8,156",,"3,924,214",,,,
0800301 CO EBT ALAMOSA CO DSS,392,,"3,941",,"4,333",,223,,"2,188",,"2,411",,"1,074,115",,,,
0800701 CO EBT ARCHULETA CO DSS,94,,"1,441",,"1,535",,62,,715,,777,,"368,195",,,,
0800901 CO EBT BACA CO DSS,47,,643,,690,,29,,294,,323,,"166,379",,,,
0801101 CO EBT BENT CO DSS,61,,855,,916,,44,,478,,522,,"218,335",,,,
0801301 CO EBT BOULDER CO DSS,"1,460",,"15,193",,"16,653",,852,,"8,642",,"9,494",,"4,194,556",,,,
0801501 CO EBT CHAFFEE CO DSS,170,,"1,404",,"1,574",,94,,858,,952,,"397,947",,,,
0801701 CO EBT CHEYENNE CO DSS,4,,158,,162,,3,,82,,85,,"39,351",,,,
0801901 CO EBT CLEAR CREEK,53,,462,,515,,38,,301,,339,,"135,285",,,,
0802101 CO EBT CONEJOS CO DSS,134,,"1,447",,"1,581",,92,,729,,821,,"389,828",,,,
0802301 CO EBT COSTILLA CO DSS,134,,988,,"1,122",,82,,578,,660,,"272,701",,,,
0802501 CO EBT CROWLEY CO DSS,98,,888,,986,,62,,465,,527,,"240,525",,,,
0802701 CO EBT CUSTER CO DSS,30,,431,,461,,22,,242,,264,,"110,438",,,,
0802901 CO EBT DELTA CO DSS,225,,"3,943",,"4,168",,153,,"2,029",,"2,182",,"995,889",,,,
0803102 CO EBT DENVER,"6,980",,"71,044",,"78,024",,"4,274",,"38,636",,"42,910",,"19,559,966",,,,
0803301 CO EBT DOLORES CO DSS,13,,238,,251,,11,,124,,135,,"58,118",,,,
0803501 CO EBT DOUGLAS,371,,"6,627",,"6,998",,227,,"3,322",,"3,549",,"1,700,699",,,,
0803701 CO EBT EAGLE CO DSS,87,,"1,218",,"1,305",,41,,633,,674,,"318,374",,,,
0803901 CO EBT ELBERT CO DSS,36,,822,,858,,21,,385,,406,,"201,973",,,,
0804101 CO EBT EL PASO CO DSS,"4,983",,"68,995",,"73,978",,"2,452",,"35,251",,"37,703",,"17,855,909",,,,
0804301 CO EBT FREMONT CO DSS,567,,"6,712",,"7,279",,349,,"3,594",,"3,943",,"1,762,590",,,,
0804501 CO EBT GARFIELD CO DSS,294,,"3,760",,"4,054",,158,,"1,940",,"2,098",,"993,780",,,,
0804701 CO EBT GILPIN,37,,437,,474,,21,,251,,272,,"118,768",,,,
0804901 CO EBT GRAND,20,,385,,405,,17,,226,,243,,"99,915",,,,
0805101 CO EBT GUNN HINSDALE CO DSS,38,,968,,"1,006",,23,,570,,593,,"253,761",,,,
0805301 CO EBT HINSDALE,2,,13,,15,,1,,10,,11,,"3,647",,,,
0805501 CO EBT HUERFANO CO DSS,172,,"1,530",,"1,702",,99,,893,,992,,"426,453",,,,
0805701 CO EBT JACKSON,7,,90,,97,,5,,53,,58,,"23,538",,,,
0805901 CO EBT JEFFERSON CO DSS,"2,208",,"29,359",,"31,567",,"1,313",,"15,676",,"16,989",,"7,738,207",,,,
0806101 CO EBT KIOWA CO DSS,12,,199,,211,,8,,88,,96,,"47,565",,,,
0806301 CO EBT KIT CARSON CO DSS,43,,857,,900,,20,,396,,416,,"203,891",,,,
0806501 CO EBT LAKE CO DSS,25,,452,,477,,15,,245,,260,,"118,097",,,,
0806701 CO EBT LA PLATA CO DSS,338,,"3,882",,"4,220",,173,,"2,122",,"2,295",,"1,014,226",,,,
0806901 CO EBT LARIMER CO DSS,"1,699",,"23,953",,"25,652",,862,,"13,101",,"13,963",,"6,400,035",,,,
0807101 CO EBT LAS ANIMAS CO DSS,244,,"2,917",,"3,161",,165,,"1,664",,"1,829",,"795,969",,,,
0807301 CO EBT LINCOLN CO DSS,26,,684,,710,,14,,335,,349,,"171,068",,,,
0807501 CO EBT LOGAN CO DSS,114,,"2,498",,"2,612",,95,,"1,352",,"1,447",,"648,095",,,,
0807701 CO EBT MESA CO DSS,"1,105",,"17,532",,"18,637",,670,,"9,122",,"9,792",,"4,584,615",,,,
0807901 CO EBT MINERAL,4,,50,,54,,4,,34,,38,,"14,186",,,,
0808101 CO EBT MOFFAT CO DSS,42,,"1,408",,"1,450",,33,,717,,750,,"345,721",,,,
0808301 CO EBT MONTEZUMA CO DSS,160,,"4,438",,"4,598",,123,,"2,161",,"2,284",,"1,105,660",,,,
0808501 CO EBT MONTROSE CO DSS,211,,"4,822",,"5,033",,153,,"2,585",,"2,738",,"1,222,735",,,,
0808701 CO EBT MORGAN CO DSS,198,,"3,204",,"3,402",,104,,"1,462",,"1,566",,"793,844",,,,
0808901 CO EBT OTERO CO DSS,251,,"4,138",,"4,389",,177,,"2,092",,"2,269",,"1,044,289",,,,
0809101 CO EBT OURAY CO DSS,18,,169,,187,,14,,103,,117,,"47,574",,,,
0809301 CO EBT PARK CO DSS,94,,"1,170",,"1,264",,69,,668,,737,,"321,253",,,,
0809501 CO EBT PHILLIPS CO DSS,28,,401,,429,,21,,199,,220,,"100,718",,,,
0809701 CO EBT PITKIN,10,,235,,245,,10,,183,,193,,"68,246",,,,
0809901 CO EBT PROWERS CO DSS,207,,"2,476",,"2,683",,134,,"1,206",,"1,340",,"644,824",,,,
0810101 CO EBT PUEBLO CO DSS,"3,002",,"36,524",,"39,526",,"1,726",,"19,260",,"20,986",,"9,602,069",,,,
0810301 CO EBT RIO BLANCO CO DSS,48,,665,,713,,21,,303,,324,,"169,092",,,,
0810501 CO EBT RIO GRANDE CO DSS,161,,"2,049",,"2,210",,129,,"1,071",,"1,200",,"537,391",,,,
0810701 CO EBT ROUTT CO DSS,31,,482,,513,,15,,326,,341,,"129,881",,,,
0810901 CO EBT SAGUACHE CO DSS,60,,"1,224",,"1,284",,54,,664,,718,,"317,105",,,,
0811101 CO EBT SAN JUAN CO DSS,2,,37,,39,,2,,22,,24,,"9,484",,,,
0811301 CO EBT SAN MIGUEL CO DSS,13,,244,,257,,9,,153,,162,,"66,509",,,,
0811501 CO EBT SEDGWICK CO DSS,54,,364,,418,,23,,184,,207,,"97,253",,,,
0811701 CO EBT SUMMIT CO DSS,34,,627,,661,,20,,423,,443,,"175,701",,,,
0811901 CO EBT TELLER CO DSS,130,,"2,106",,"2,236",,82,,"1,203",,"1,285",,"564,291",,,,
0812101 CO EBT WASHINGTON CO DSS,29,,563,,592,,20,,245,,265,,"133,016",,,,
0812301 CO EBT WELD CO DSS,"1,523",,"28,924",,"30,447",,791,,"13,316",,"14,107",,"7,251,384",,,,
0812501 CO EBT YUMA CO DSS,67,,"1,205",,"1,272",,38,,537,,575,,"303,043",,,,
0812701 CO EBT ADAMS CO DSS,"3,307",,"51,049",,"54,356",,"1,775",,"23,767",,"25,542",,"12,907,582",,,,
0812901 CO EBT ARAPAHO CO. DSS,"4,504",,"51,073",,"55,577",,"2,545",,"24,595",,"27,140",,"13,447,319",,,,
0813101 CO EBT BROOMFIELD,178,,"2,403",,"2,581",,114,,"1,286",,"1,400",,"629,708",,,,
0900002 CT EBT DEPT. OF SOCIAL SERVICES,"21,686",,"347,835",,"369,521",,"11,712",,"204,186",,"215,898",,"62,265,491",,,,
1000112 DE EBT KENT,"30,117",,31,,"30,148",,"15,170",,8,,"15,178",,"4,058,915",,,,
1000235 DE EBT NEW CASTLE,"70,535",,93,,"70,628",,"34,729",,36,,"34,765",,"10,383,851",,,,
1000316 DE EBT SUSSEX CO.,"18,628",,10,,"18,638",,"8,821",,4,,"8,825",,"2,705,624",,,,
1100161 DC EBT D.C. Treasury,"57,474",,"89,704",,"147,178",,"29,545",,"60,779",,"90,324",,"24,118,053",,,,
1200101 FL EBT ALACHUA CO DFS,"3,427",,"29,339",,"32,766",,"2,994",,"14,770",,"17,764",,"4,698,541",,,,
1200301 FL EBT BAKER CO SERVICE CENTE,327,,"3,796",,"4,123",,284,,"1,623",,"1,907",,"583,104",,,,
1200501 FL EBT BAY CO DFS,"1,846",,"21,360",,"23,206",,"1,603",,"10,375",,"11,978",,"3,363,583",,,,
1200701 FL EBT BRADFORD CO DFS,449,,"3,974",,"4,423",,403,,"1,882",,"2,285",,"636,713",,,,
1200901 FL EBT BREVARD CO DFS,"5,943",,"55,987",,"61,930",,"5,130",,"28,654",,"33,784",,"8,614,962",,,,
1201101 FL EBT BROWARD CO SES,"23,253",,"204,831",,"228,084",,"20,849",,"109,564",,"130,413",,"35,046,242",,,,
1201301 FL EBT CALHOUN CO DFS,233,,"2,091",,"2,324",,211,,958,,"1,169",,"321,098",,,,
1201501 FL EBT CHARLOTTE CO DFS,"1,311",,"11,996",,"13,307",,"1,173",,"6,418",,"7,591",,"1,821,626",,,,
1201701 FL EBT CITRUS CO DFS,"1,950",,"17,692",,"19,642",,"1,729",,"9,086",,"10,815",,"2,678,116",,,,
1201901 FL EBT CLAY CO DFS,"1,368",,"18,281",,"19,649",,"1,205",,"8,302",,"9,507",,"2,763,802",,,,
1202101 FL EBT COLLIER CO DFS,"1,757",,"15,908",,"17,665",,"1,528",,"8,356",,"9,884",,"2,692,716",,,,
1202301 FL EBT COLUMBIA CO DFS,"1,401",,"11,970",,"13,371",,"1,208",,"5,633",,"6,841",,"1,854,375",,,,
1202501 FL EBT DADE CO DFS,"109,674",,"451,180",,"560,854",,"99,458",,"260,761",,"360,219",,"89,350,717",,,,
1202701 FL EBT DESOTO CO DFS,457,,"4,413",,"4,870",,403,,"2,055",,"2,458",,"701,568",,,,
1202901 FL EBT DIXIE,399,,"2,943",,"3,342",,351,,"1,486",,"1,837",,"474,186",,,,
1203101 FL EBT DUVAL CO DFS,"14,497",,"139,496",,"153,993",,"12,170",,"67,520",,"79,690",,"22,548,956",,,,
1203301 FL EBT ESCAMBIA CO DFS,"5,085",,"43,187",,"48,272",,"4,280",,"20,903",,"25,183",,"6,923,491",,,,
1203501 FL EBT FLAGLER CO DFS,900,,"10,704",,"11,604",,790,,"5,153",,"5,943",,"1,607,745",,,,
1203701 FL EBT FRANKLIN CO DFS,147,,"1,293",,"1,440",,133,,630,,763,,"207,399",,,,
1203901 FL EBT GADSEN CO DFS,"1,340",,"8,529",,"9,869",,"1,124",,"4,290",,"5,414",,"1,369,370",,,,
1204101 FL EBT GILCHRIST,256,,"2,575",,"2,831",,225,,"1,177",,"1,402",,"382,694",,,,
1204501 FL EBT GULF CO DFS,174,,"1,593",,"1,767",,171,,803,,974,,"238,855",,,,
1204701 FL EBT HAMILTON CO DFS,271,,"2,176",,"2,447",,229,,995,,"1,224",,"354,972",,,,
1204901 FL EBT HARDEE CO DFS,309,,"4,752",,"5,061",,270,,"2,037",,"2,307",,"708,571",,,,
1205101 FL EBT HENDRY CO DFS,846,,"8,301",,"9,147",,729,,"3,832",,"4,561",,"1,362,466",,,,
1205301 FL EBT HERNNANDO COUNTY ES,"2,683",,"25,062",,"27,745",,"2,270",,"12,104",,"14,374",,"3,850,912",,,,
1205501 FL EBT HIGHLANDS CO DFS,"1,668",,"15,968",,"17,636",,"1,429",,"7,843",,"9,272",,"2,403,003",,,,
1205701 FL EBT HILLSBOROUGH CO ES,"22,061",,"177,152",,"199,213",,"19,027",,"87,495",,"106,522",,"30,461,621",,,,
1205901 FL EBT HOLMES CO SES,364,,"3,710",,"4,074",,312,,"1,624",,"1,936",,"540,404",,,,
1206101 FL EBT INDIAN RIVER CO DFS,"1,246",,"12,841",,"14,087",,"1,114",,"6,830",,"7,944",,"1,956,062",,,,
1206301 FL EBT JACKSON CO DFS,827,,"7,216",,"8,043",,739,,"3,350",,"4,089",,"1,083,407",,,,
1206501 FL EBT JEFFERSON CO DFS,260,,"1,455",,"1,715",,225,,751,,976,,"231,337",,,,
1206701 FL EBT LAFAYETTE,74,,887,,961,,66,,377,,443,,"134,801",,,,
1206901 FL EBT LAKE CO FS UNIT,"3,535",,"38,698",,"42,233",,"3,035",,"18,846",,"21,881",,"5,808,225",,,,
1207101 FL EBT LEE CO DFS,"7,041",,"73,621",,"80,662",,"6,109",,"35,822",,"41,931",,"12,148,467",,,,
1207301 FL EBT LEON CO DFS,"3,322",,"32,640",,"35,962",,"2,833",,"16,747",,"19,580",,"5,317,500",,,,
1207501 FL EBT LEVY CO DFS,808,,"6,340",,"7,148",,703,,"3,102",,"3,805",,"969,661",,,,
1207701 FL EBT LIBERTY CO DFS,133,,"1,035",,"1,168",,109,,507,,616,,"162,754",,,,
1207901 FL EBT MADISON CO DFS,375,,"2,504",,"2,879",,328,,"1,184",,"1,512",,"392,076",,,,
1208101 FL EBT MANATEE CO DFS,"2,870",,"30,552",,"33,422",,"2,437",,"15,145",,"17,582",,"4,938,945",,,,
1208301 FL EBT MARION CO FS OFFICE,"5,494",,"51,259",,"56,753",,"4,620",,"24,425",,"29,045",,"7,878,134",,,,
1208501 FL EBT MARTIN CO SES,699,,"9,288",,"9,987",,651,,"4,919",,"5,570",,"1,430,693",,,,
1208701 FL EBT MONROE CO DFS,700,,"5,775",,"6,475",,650,,"3,450",,"4,100",,"968,708",,,,
1208901 FL EBT NASSAU CO FS OFFICE,551,,"6,104",,"6,655",,488,,"3,069",,"3,557",,"948,464",,,,
1209101 FL EBT OKALOOSA CO FS UNIT 79,"1,411",,"15,648",,"17,059",,"1,198",,"7,163",,"8,361",,"2,387,184",,,,
1209301 FL EBT OKEECHOBEE CO SES,557,,"6,865",,"7,422",,517,,"3,255",,"3,772",,"1,100,166",,,,
1209501 FL EBT ORANGE CO DFS,"17,578",,"176,460",,"194,038",,"14,825",,"88,675",,"103,500",,"28,530,717",,,,
1209701 FL EBT OSCEOLA CO FOOD STAMPS,"5,866",,"63,316",,"69,182",,"5,010",,"30,649",,"35,659",,"9,809,919",,,,
1209901 FL EBT PALM BEACH CO DFS,"11,475",,"133,264",,"144,739",,"10,245",,"69,738",,"79,983",,"22,326,010",,,,
1210101 FL EBT PASCO CO DFS,"6,430",,"55,439",,"61,869",,"5,472",,"28,128",,"33,600",,"8,907,939",,,,
1210301 FL EBT PINELLAS CO DFS,"11,122",,"79,565",,"90,687",,"9,618",,"45,317",,"54,935",,"13,265,735",,,,
1210501 FL EBT POLK CO SES - STE 101,"11,924",,"121,705",,"133,629",,"9,959",,"56,588",,"66,547",,"18,699,365",,,,
1210701 FL EBT PUTNAM CO DFS,"1,611",,"14,615",,"16,226",,"1,411",,"6,986",,"8,397",,"2,283,941",,,,
1210901 FL EBT ST JOHNS CO DFS,"1,137",,"10,990",,"12,127",,"1,006",,"5,563",,"6,569",,"1,711,165",,,,
1211101 FL EBT ST LUCIE CO DFS,"3,543",,"37,717",,"41,260",,"3,170",,"18,463",,"21,633",,"6,014,205",,,,
1211301 FL EBT SANTA ROSA CO SES,"1,214",,"13,479",,"14,693",,"1,054",,"6,062",,"7,116",,"2,048,760",,,,
1211501 FL EBT SARASOTA CO DFS,"2,482",,"21,942",,"24,424",,"2,149",,"11,976",,"14,125",,"3,572,574",,,,
1211701 FL EBT SEMINOLE CO DFS,"3,520",,"36,976",,"40,496",,"2,936",,"18,583",,"21,519",,"5,802,905",,,,
1211901 FL EBT SUMTER CO HRS FS U 89,951,,"7,438",,"8,389",,797,,"3,735",,"4,532",,"1,160,202",,,,
1212101 FL EBT SUWANNEE CO DFS,780,,"7,440",,"8,220",,652,,"3,422",,"4,074",,"1,127,412",,,,
1212301 FL EBT TAYLOR CO DFS,425,,"4,169",,"4,594",,395,,"2,018",,"2,413",,"635,781",,,,
1212501 FL EBT UNION CO DFS,189,,"2,046",,"2,235",,152,,855,,"1,007",,"296,524",,,,
1212701 FL EBT VOLUSIA CO DFS,"6,885",,"67,274",,"74,159",,"5,923",,"34,855",,"40,778",,"10,469,841",,,,
1212901 FL EBT WAKULLA CO DFS,265,,"2,980",,"3,245",,249,,"1,402",,"1,651",,"457,026",,,,
1213101 FL EBT WALTON CO DFS,433,,"5,769",,"6,202",,394,,"2,660",,"3,054",,"869,550",,,,
1213301 FL EBT WASHINGTON CO DFS,281,,"3,059",,"3,340",,233,,"1,388",,"1,621",,"456,104",,,,
1300101 GA EBT APPLING,459,,"3,426",,"3,885",,272,,"1,575",,"1,847",,"920,752",,,,
1300301 GA EBT ATKINSON,214,,"1,661",,"1,875",,127,,755,,882,,"439,945",,,,
1300501 GA EBT BACON,297,,"2,282",,"2,579",,163,,"1,005",,"1,168",,"607,935",,,,
1300701 GA EBT BAKER,124,,689,,813,,95,,371,,466,,"199,872",,,,
1300901 GA EBT BALDWIN,"1,121",,"7,038",,"8,159",,719,,"3,456",,"4,175",,"1,964,572",,,,
1301101 GA EBT BANKS,248,,"2,069",,"2,317",,146,,953,,"1,099",,"544,054",,,,
1301301 GA EBT BARROW,"1,160",,"8,604",,"9,764",,738,,"4,023",,"4,761",,"2,334,651",,,,
1301501 GA EBT BARTOW CO DFCS,"1,531",,"13,134",,"14,665",,968,,"6,112",,"7,080",,"3,518,696",,,,
1301701 GA EBT BEN HILL,607,,"3,705",,"4,312",,401,,"1,771",,"2,172",,"1,030,384",,,,
1301901 GA EBT BERRIEN CO DFCS,534,,"3,207",,"3,741",,311,,"1,535",,"1,846",,"892,704",,,,
1302102 GA EBT BIBB COUNTY DFCS,"6,049",,"35,209",,"41,258",,"3,788",,"17,097",,"20,885",,"9,977,674",,,,
1302301 GA EBT BLECKLEY,250,,"1,984",,"2,234",,151,,966,,"1,117",,"537,590",,,,
1302501 GA EBT BRANTLEY,430,,"3,667",,"4,097",,237,,"1,696",,"1,933",,"985,339",,,,
1302701 GA EBT BROOKS,514,,"3,229",,"3,743",,311,,"1,578",,"1,889",,"893,718",,,,
1302901 GA EBT BRYAN CO DFCS,373,,"3,498",,"3,871",,239,,"1,568",,"1,807",,"917,007",,,,
1303101 GA EBT BULLOCH,"1,380",,"11,897",,"13,277",,785,,"5,817",,"6,602",,"3,213,957",,,,
1303301 GA EBT BURKE,856,,"5,164",,"6,020",,521,,"2,440",,"2,961",,"1,436,345",,,,
1303501 GA EBT BUTTS,511,,"3,639",,"4,150",,348,,"1,749",,"2,097",,"1,002,144",,,,
1303701 GA EBT CALHOUN CO DFCS,173,,"1,192",,"1,365",,126,,619,,745,,"335,513",,,,
1303901 GA EBT CAMDEN,648,,"5,588",,"6,236",,382,,"2,536",,"2,918",,"1,477,847",,,,
1304301 GA EBT CANDLER,329,,"2,225",,"2,554",,194,,988,,"1,182",,"600,007",,,,
1304502 GA EBT CARROLL,"2,213",,"16,982",,"19,195",,"1,318",,"7,832",,"9,150",,"4,595,552",,,,
1304701 GA EBT CATOOSA,805,,"6,772",,"7,577",,500,,"3,094",,"3,594",,"1,795,010",,,,
1304901 GA EBT CHARLTON,235,,"1,784",,"2,019",,142,,838,,980,,"481,340",,,,
1305103 GA EBT CHATHAM,"4,943",,"41,241",,"46,184",,"3,299",,"19,726",,"23,025",,"11,202,766",,,,
1305301 GA EBT CHATTAHOOCHEE CO DFCS,115,,645,,760,,68,,324,,392,,"183,798",,,,
1305501 GA EBT CHATTOGA CO DFCS,689,,"4,920",,"5,609",,449,,"2,436",,"2,885",,"1,358,145",,,,
1305701 GA EBT CHEROKEE,"1,168",,"12,253",,"13,421",,756,,"5,347",,"6,103",,"3,201,205",,,,
1305901 GA EBT CLARKE,"2,236",,"13,890",,"16,126",,"1,434",,"6,961",,"8,395",,"3,932,301",,,,
1306101 GA EBT CLAY CO DFCS,126,,870,,996,,76,,451,,527,,"241,475",,,,
1306301 GA EBT CLAYTON CO DFCS,"7,059",,"68,539",,"75,598",,"3,939",,"31,818",,"35,757",,"18,349,750",,,,
1306501 GA EBT CLINCH CO DFCS,233,,"1,436",,"1,669",,139,,666,,805,,"390,284",,,,
1306702 GA EBT COBB,"5,594",,"58,000",,"63,594",,"3,271",,"27,928",,"31,199",,"15,575,108",,,,
1306901 GA EBT COFFEE,"1,130",,"8,345",,"9,475",,655,,"3,809",,"4,464",,"2,246,852",,,,
1307101 GA EBT COLQUITT,"1,509",,"9,086",,"10,595",,951,,"4,314",,"5,265",,"2,527,326",,,,
1307301 GA EBT COLUMBIA CO DFCS,949,,"9,367",,"10,316",,526,,"4,042",,"4,568",,"2,425,324",,,,
1307501 GA EBT COOK,506,,"3,370",,"3,876",,290,,"1,580",,"1,870",,"912,817",,,,
1307702 GA EBT COWETA,"1,511",,"12,787",,"14,298",,943,,"5,882",,"6,825",,"3,441,962",,,,
1307901 GA EBT CRAWFORD,279,,"1,830",,"2,109",,181,,890,,"1,071",,"508,659",,,,
1308101 GA EBT CRISP CO FD STAMP OFC,825,,"5,374",,"6,199",,526,,"2,651",,"3,177",,"1,509,478",,,,
1308301 GA EBT DADE,203,,"1,610",,"1,813",,129,,769,,898,,"431,321",,,,
1308501 GA EBT DAWSON CO DFCS,232,,"1,931",,"2,163",,148,,878,,"1,026",,"515,705",,,,
1308701 GA EBT DECATUR CO DFCS,"1,055",,"6,126",,"7,181",,616,,"3,050",,"3,666",,"1,730,480",,,,
1308903 GA EBT DE KALB,"14,782",,"114,981",,"129,763",,"9,288",,"55,832",,"65,120",,"31,690,420",,,,
1309105 GA EBT DODGE,664,,"3,901",,"4,565",,433,,"1,946",,"2,379",,"1,097,429",,,,
1309301 GA EBT DOOLY,306,,"2,012",,"2,318",,207,,"1,033",,"1,240",,"564,637",,,,
1309501 GA EBT DOUGHERTY,"4,035",,"24,589",,"28,624",,"2,487",,"12,271",,"14,758",,"7,004,345",,,,
1309701 GA EBT DOUGLAS CO DFCS,"2,043",,"22,191",,"24,234",,"1,170",,"10,001",,"11,171",,"5,855,157",,,,
1309901 GA EBT EARLY,483,,"2,861",,"3,344",,286,,"1,385",,"1,671",,"804,209",,,,
1310001 GA EBT ECHOLS,60,,704,,764,,30,,260,,290,,"174,739",,,,
1310301 GA EBT EFFINGHAM CO DFCS,584,,"5,946",,"6,530",,343,,"2,537",,"2,880",,"1,538,743",,,,
1310501 GA EBT ELBERT,601,,"3,450",,"4,051",,391,,"1,733",,"2,124",,"977,027",,,,
1310701 GA EBT EMANUEL,753,,"5,429",,"6,182",,448,,"2,607",,"3,055",,"1,480,794",,,,
1310901 GA EBT EVANS,272,,"2,167",,"2,439",,170,,"1,003",,"1,173",,"581,678",,,,
1311101 GA EBT FANNIN,349,,"2,359",,"2,708",,212,,"1,177",,"1,389",,"643,292",,,,
1311301 GA EBT FAYETTE,633,,"5,773",,"6,406",,397,,"2,615",,"3,012",,"1,537,873",,,,
1311501 GA EBT FLOYD,"2,251",,"14,207",,"16,458",,"1,415",,"6,744",,"8,159",,"3,939,659",,,,
1311701 GA EBT FORSYTH,761,,"6,446",,"7,207",,477,,"2,860",,"3,337",,"1,714,353",,,,
1311901 GA EBT FRANKLIN,553,,"3,409",,"3,962",,335,,"1,662",,"1,997",,"948,973",,,,
1312103 GA EBT FULTON CO DFCS,"20,633",,"144,099",,"164,732",,"13,620",,"74,990",,"88,610",,"41,067,732",,,,
1312302 GA EBT GILMER,397,,"3,272",,"3,669",,245,,"1,491",,"1,736",,"865,196",,,,
1312501 GA EBT GLASCOCK CO DFCS,60,,405,,465,,42,,198,,240,,"111,496",,,,
1312701 GA EBT GLYNN,"1,458",,"12,020",,"13,478",,874,,"5,739",,"6,613",,"3,256,050",,,,
1312901 GA EBT GORDON,900,,"6,849",,"7,749",,549,,"3,231",,"3,780",,"1,843,713",,,,
1313101 GA EBT GRADY,704,,"4,454",,"5,158",,455,,"2,126",,"2,581",,"1,230,885",,,,
1313301 GA EBT GREENE,363,,"2,211",,"2,574",,248,,"1,066",,"1,314",,"614,330",,,,
1313501 GA EBT GWINNETT,"8,768",,"85,583",,"94,351",,"5,331",,"36,149",,"41,480",,"22,418,945",,,,
1313701 GA EBT HABERSHAM CO DFCS,594,,"4,769",,"5,363",,354,,"2,141",,"2,495",,"1,258,734",,,,
1313901 GA EBT HALL,"1,901",,"17,803",,"19,704",,"1,138",,"7,809",,"8,947",,"4,650,905",,,,
1314101 GA EBT HANCOCK,280,,"1,470",,"1,750",,188,,814,,"1,002",,"433,059",,,,
1314301 GA EBT HARALSON,727,,"4,948",,"5,675",,450,,"2,341",,"2,791",,"1,370,276",,,,
1314501 GA EBT HARRIS CO DFCS,278,,"2,388",,"2,666",,164,,"1,175",,"1,339",,"641,621",,,,
1314701 GA EBT HART,546,,"3,669",,"4,215",,344,,"1,747",,"2,091",,"998,701",,,,
1314901 GA EBT HEARD,274,,"1,952",,"2,226",,166,,912,,"1,078",,"529,955",,,,
1315101 GA EBT HENRY,"3,042",,"32,025",,"35,067",,"1,646",,"14,041",,"15,687",,"8,399,643",,,,
1315301 GA EBT HOUSTON CO DFCS,"2,695",,"20,181",,"22,876",,"1,467",,"9,007",,"10,474",,"5,418,579",,,,
1315501 GA EBT IRWIN CO DFCS,262,,"1,673",,"1,935",,148,,784,,932,,"458,451",,,,
1315701 GA EBT JACKSON,825,,"6,687",,"7,512",,477,,"2,917",,"3,394",,"1,761,236",,,,
1315901 GA EBT JASPER CO DFCS,261,,"2,017",,"2,278",,158,,943,,"1,101",,"541,170",,,,
