NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0603101 CA EBT KINGS COUNTY DPW,"5,499",,"19,143",,"24,642",,"2,853",,"8,945",,"11,798",,"3,840,935",,,,
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,"2,841",,"10,608",,"13,449",,"1,963",,"6,224",,"8,187",,"2,124,909",,,,
0603501 CA EBT LASSEN CO DSW,907,,"2,473",,"3,380",,566,,"1,328",,"1,894",,"881,513",,,,
0603720 CA EBT LOS ANGELES COUNTY DPSS,"443,481",,"908,590",,"1,352,071",,"313,328",,"503,267",,"816,595",,"358,085,994",,,,
0603902 CA EBT MADERA CO DSW,"5,925",,"22,766",,"28,691",,"2,875",,"10,202",,"13,077",,"4,559,530",,,,
0604102 CA EBT MARIN COUNTY DSW,"3,175",,"9,528",,"12,703",,"2,418",,"6,093",,"8,511",,"3,516,182",,,,
0604301 CA EBT MARIPOSA CO DSW,508,,"2,085",,"2,593",,328,,"1,210",,"1,538",,"679,144",,,,
0604501 CA EBT MENDOCINO CO WELF DEPT,"2,227",,"11,435",,"13,662",,"1,649",,"6,572",,"8,221",,"3,611,622",,,,
0604701 CA EBT MERCED CO DPW,"11,715",,"41,781",,"53,496",,"6,186",,"19,751",,"25,937",,"13,526,574",,,,
0604901 CA EBT MODOC COUNTY DSS,366,,"1,155",,"1,521",,241,,610,,851,,"378,069",,,,
0605101 CA EBT MONO CO WELFARE DEPT,62,,556,,618,,42,,350,,392,,"170,707",,,,
0605302 CA EBT MONTEREY CO DSW,"7,312",,"35,093",,"42,405",,"4,332",,"16,899",,"21,231",,"11,042,205",,,,
0605502 CA EBT NAPA CO WELFARE DEPT,"1,244",,"6,117",,"7,361",,928,,"3,393",,"4,321",,"1,148,070",,,,
0605701 CA EBT NEVADA CO DPSS,"1,484",,"6,805",,"8,289",,"1,131",,"4,264",,"5,395",,"2,660,526",,,,
0605903 CA EBT ORANGE CO DSW,"46,915",,"218,931",,"265,846",,"29,711",,"124,731",,"154,442",,"65,614,795",,,,
0606101 CA EBT PLACER CO WELFARE DEPT,"3,073",,"15,442",,"18,515",,"2,141",,"9,635",,"11,776",,"4,897,800",,,,
0606301 CA EBT PLUMAS COUNTY DSS,419,,"1,881",,"2,300",,282,,"1,114",,"1,396",,"646,667",,,,
0606503 CA EBT RIVERSIDE COUNTY DSS,"49,615",,"201,350",,"250,965",,"30,303",,"101,224",,"131,527",,"65,081,584",,,,
0606703 CA EBT SACRAMENTO CO DSW,"55,511",,"173,118",,"228,629",,"32,495",,"90,510",,"123,005",,"55,933,991",,,,
0606902 CA EBT SAN BENITO COUNTY DSS,936,,"4,628",,"5,564",,580,,"2,276",,"2,856",,"893,859",,,,
0607105 CA EBT SAN BRNDINO CO DPSS AU,"68,546",,"235,467",,"304,013",,"37,186",,"115,024",,"152,210",,"77,483,826",,,,
0607301 CA EBT SAN DIEGO CO DSS,"52,470",,"318,922",,"371,392",,"33,288",,"181,902",,"215,190",,"56,452,713",,,,
0607502 CA EBT SAN FRANCISCO COUNTY DSS,"5,265",,"85,976",,"91,241",,"2,117",,"63,699",,"65,816",,"14,714,938",,,,
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,"23,812",,"78,130",,"101,942",,"14,018",,"38,377",,"52,395",,"25,967,635",,,,
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,"3,069",,"17,050",,"20,119",,"1,961",,"10,888",,"12,849",,"3,085,660",,,,
0608103 CA EBT SAN MATEO COUNTY DSS,"4,204",,"25,620",,"29,824",,"3,132",,"14,791",,"17,923",,"7,407,582",,,,
