count,res_state,county_fips_code
3201,NV,32005
5734,NV,32007
5107,NV,32019
3467,NV,32023
37021,NV,32031
4812,NV,32510
4159,NV,NA
29146,NY,36001
5140,NY,36003
221576,NY,36005
25637,NY,36007
8230,NY,36009
8406,NY,36011
13477,NY,36013
10162,NY,36015
5348,NY,36017
8042,NY,36019
4925,NY,36021
5496,NY,36023
4459,NY,36025
32437,NY,36027
117559,NY,36029
3146,NY,36031
5490,NY,36033
7458,NY,36035
6711,NY,36037
4672,NY,36039
7115,NY,36043
10787,NY,36045
394142,NY,36047
3380,NY,36049
6864,NY,36051
6695,NY,36053
79182,NY,36055
5605,NY,36057
179693,NY,36059
231852,NY,36061
23960,NY,36063
25754,NY,36065
46564,NY,36067
10593,NY,36069
60640,NY,36071
5440,NY,36073
14335,NY,36075
5138,NY,36077
13871,NY,36079
347659,NY,36081
18826,NY,36083
92148,NY,36085
29481,NY,36087
12603,NY,36089
17528,NY,36091
16692,NY,36093
2652,NY,36095
258,NY,36099
11074,NY,36101
178289,NY,36103
9140,NY,36105
6130,NY,36107
10102,NY,36109
18479,NY,36111
8055,NY,36113
6909,NY,36115
6443,NY,36117
122931,NY,36119
4270,NY,36121
1238,NY,36123
23251,NY,NA
3559,OH,39001
12404,OH,39003
6477,OH,39005
11772,OH,39007
5992,OH,39009
5059,OH,39011
7901,OH,39013
5923,OH,39015
37516,OH,39017
3009,OH,39019
4578,OH,39021
15963,OH,39023
23781,OH,39025
4757,OH,39027
13832,OH,39029
4383,OH,39031
5639,OH,39033
131282,OH,39035
5359,OH,39037
5083,OH,39039
19614,OH,39041
9885,OH,39043
18021,OH,39045
3590,OH,39047
117157,OH,39049
5092,OH,39051
3335,OH,39053
9054,OH,39055
18375,OH,39057
5723,OH,39059
79292,OH,39061
8021,OH,39063
3576,OH,39065
2989,OH,39069
5348,OH,39071
3315,OH,39073
2283,OH,39075
7680,OH,39077
4000,OH,39079
7651,OH,39081
7163,OH,39083
24751,OH,39085
8060,OH,39087
21080,OH,39089
5204,OH,39091
38039,OH,39093
45654,OH,39095
4304,OH,39097
27263,OH,39099
8043,OH,39101
22089,OH,39103
2387,OH,39105
3600,OH,39107
12252,OH,39109
55117,OH,39113
4009,OH,39117
12410,OH,39119
3952,OH,39123
4464,OH,39127
7509,OH,39129
3437,OH,39131
19099,OH,39133
4402,OH,39135
3424,OH,39137
16905,OH,39139
8617,OH,39141
7225,OH,39143
9709,OH,39145
6385,OH,39147
5071,OH,39149
41277,OH,39151
55235,OH,39153
21335,OH,39155
10384,OH,39157
7346,OH,39159
3294,OH,39161
25509,OH,39165
6470,OH,39167
12126,OH,39169
4739,OH,39171
14646,OH,39173
2589,OH,39175
17837,OH,NA
2984,OK,40001
1860,OK,40009
5252,OK,40013
2499,OK,40015
13198,OK,40017
5860,OK,40019
5295,OK,40021
25037,OK,40027
12762,OK,40031
7430,OK,40037
2358,OK,40039
4496,OK,40041
4942,OK,40047
2397,OK,40049
4577,OK,40051
1774,OK,40065
4441,OK,40071
4889,OK,40079
2851,OK,40081
3775,OK,40083
3997,OK,40087
2826,OK,40089
4332,OK,40097
7099,OK,40101
61990,OK,40109
3653,OK,40111
4015,OK,40113
3508,OK,40115
6105,OK,40119
3921,OK,40121
4079,OK,40123
7062,OK,40125
9817,OK,40131
2068,OK,40133
4239,OK,40135
4696,OK,40137
61720,OK,40143
8788,OK,40145
5289,OK,40147
1571,OK,40153
33317,OK,NA
5658,OR,41003
27384,OR,41005
2356,OR,41007
3944,OR,41009
5842,OR,41011
3213,OR,41013
1739,OR,41015
23295,OR,41017
12968,OR,41019
1459,OR,41027
21228,OR,41029
3035,OR,41031
9889,OR,41033
7441,OR,41035
26263,OR,41039
3127,OR,41041
13489,OR,41043
3120,OR,41045
29091,OR,41047
44457,OR,41051
7109,OR,41053
2131,OR,41057
9890,OR,41059
2573,OR,41061
2407,OR,41065
32426,OR,41067
8039,OR,41071
8321,OR,NA
14048,PA,42001
131041,PA,42003
8498,PA,42005
21957,PA,42007
5763,PA,42009
54608,PA,42011
15033,PA,42013
7880,PA,42015
65539,PA,42017
24034,PA,42019
16250,PA,42021
9302,PA,42025
17333,PA,42027
48661,PA,42029
4488,PA,42031
10337,PA,42033
4821,PA,42035
8015,PA,42037
10428,PA,42039
26779,PA,42041
30742,PA,42043
54165,PA,42045
3853,PA,42047
30706,PA,42049
15640,PA,42051
21389,PA,42055
4682,PA,42059
5406,PA,42061
8600,PA,42063
4962,PA,42065
2367,PA,42067
21448,PA,42069
65064,PA,42071
10569,PA,42073
18928,PA,42075
46378,PA,42077
36847,PA,42079
15571,PA,42081
4549,PA,42083
12423,PA,42085
5735,PA,42087
21467,PA,42089
79179,PA,42091
44408,PA,42095
11663,PA,42097
5075,PA,42099
145245,PA,42101
6248,PA,42103
18188,PA,42107
4098,PA,42109
9078,PA,42111
5038,PA,42115
4326,PA,42117
5595,PA,42119
6565,PA,42121
4014,PA,42123
27251,PA,42125
5873,PA,42127
40494,PA,42129
3043,PA,42131
64921,PA,42133
11443,PA,NA
36749,PR,NA
4819,RI,44001
17917,RI,44003
7222,RI,44005
82229,RI,44007
11345,RI,44009
234,RI,NA
2994,SC,45001
19708,SC,45003
27910,SC,45007
2592,SC,45011
19411,SC,45013
24769,SC,45015
49333,SC,45019
7630,SC,45021
4834,SC,45023
5971,SC,45025
3834,SC,45027
4053,SC,45029
8507,SC,45031
4424,SC,45033
29029,SC,45035
3132,SC,45037
2320,SC,45039
18269,SC,45041
6733,SC,45043
76678,SC,45045
9434,SC,45047
47680,SC,45051
2719,SC,45053
9622,SC,45055
12476,SC,45057
8925,SC,45059
43395,SC,45063
3889,SC,45067
3400,SC,45069
5429,SC,45071
11478,SC,45073
10706,SC,45075
19235,SC,45077
51791,SC,45079
1685,SC,45081
46022,SC,45083
13067,SC,45085
3543,SC,45087
3595,SC,45089
36954,SC,45091
11069,SC,NA
1342,SD,46011
2152,SD,46013
1880,SD,46029
1455,SD,46081
3579,SD,46083
1185,SD,46093
13153,SD,46099
6390,SD,46103
1449,SD,46135
21652,SD,NA
8731,TN,47001
5487,TN,47003
15183,TN,47009
14565,TN,47011
5260,TN,47013
3401,TN,47017
7005,TN,47019
4923,TN,47021
4458,TN,47025
5382,TN,47029
6498,TN,47031
7335,TN,47035
81024,TN,47037
2340,TN,47041
6711,TN,47043
4453,TN,47045
5213,TN,47047
5024,TN,47051
6536,TN,47053
3722,TN,47055
3008,TN,47057
9628,TN,47059
8020,TN,47063
41178,TN,47065
2812,TN,47069
3235,TN,47071
7838,TN,47073
3225,TN,47077
3455,TN,47079
2986,TN,47081
6934,TN,47089
52458,TN,47093
2928,TN,47097
5819,TN,47099
3782,TN,47103
6082,TN,47105
6693,TN,47107
2971,TN,47109
3164,TN,47111
11650,TN,47113
3994,TN,47115
4477,TN,47117
11810,TN,47119
6459,TN,47123
24753,TN,47125
2420,TN,47129
3664,TN,47131
2878,TN,47133
9394,TN,47141
4161,TN,47143
6357,TN,47145
9342,TN,47147
40758,TN,47149
3850,TN,47151
13195,TN,47155
109951,TN,47157
2380,TN,47159
20194,TN,47163
22332,TN,47165
7821,TN,47167
4716,TN,47177
15363,TN,47179
3623,TN,47183
3196,TN,47185
27436,TN,47187
18128,TN,47189
65224,TN,NA
4424,TX,48001
6659,TX,48005
2206,TX,48007
5881,TX,48013
3057,TX,48015
1854,TX,48019
9903,TX,48021
3323,TX,48025
32713,TX,48027
225361,TX,48029
9139,TX,48037
43412,TX,48039
32847,TX,48041
6629,TX,48049
5533,TX,48053
5849,TX,48055
2668,TX,48057
32692,TX,48061
3529,TX,48067
7110,TX,48071
3263,TX,48073
89503,TX,48085
1776,TX,48089
18553,TX,48091
3131,TX,48097
7264,TX,48099
292733,TX,48113
156088,TX,48121
1755,TX,48123
20180,TX,48135
22594,TX,48139
60690,TX,48141
3791,TX,48143
3523,TX,48147
2265,TX,48149
78403,TX,48157
3821,TX,48163
